title;released;gf_score;metascore;genre;description;cover_art_url;graphics_pal;music_pal;gameplay_pal;total_pal;notes_pal_ntsc_j;name_variants;score_reasoning;description_es
Sonic the Hedgehog 2;1992-11-24;4.32;n/a;Action - Platformer;"Sonic the Hedgehog 2 is a platform game developed and published by Sega for the Sega Genesis console, released worldwide in November 1992. It is the second main entry in the Sonic the Hedgehog series, and introduced Sonic's sidekick, Miles ""Tails"" Prower, controllable by a second player. In the story, Sonic and Tails must stop series antagonist Dr. Ivo Robotnik from stealing the Chaos Emeralds to power his space station, the Death Egg.";https://images.launchbox-app.com//0e3f6713-5b20-4a08-965f-758f3807ef1c.jpg;9;10;10;10;Uno de los grandes referentes de Mega Drive por su velocidad, control inmediato, diseño de niveles y cooperativo con Tails. La edición PAL se percibe más lenta que las versiones a 60 Hz.;Sonic the Hedgehog 2;Gráficos: apartado visual sobresaliente para la plataforma. Música: composición y aprovechamiento sonoro especialmente destacados. Jugabilidad: control preciso, respuesta inmediata y diseño muy bien ajustado. Motivo global: Uno de los grandes referentes de Mega Drive por su velocidad, control inmediato, diseño de niveles y cooperativo con Tails. La edición PAL se percibe más lenta que las versiones a 60 Hz.;Sonic the Hedgehog 2 es un juego de plataformas desarrollado y publicado por Sega para Mega Drive, lanzado mundialmente en noviembre de 1992. Es la segunda entrega principal de la saga y presenta a Miles «Tails» Prower, controlable por un segundo jugador. Sonic y Tails deben impedir que el Dr. Robotnik robe las Esmeraldas del Caos para alimentar su estación espacial, la Death Egg.
Sonic 3 & Knuckles;1994-10-18;4.32;96;Action - Platformer - 2D;Sonic 3 & Knuckles is the complete game created by Sega's innovative lock-on technology, combining Sonic the Hedgehog 3 and Sonic & Knuckles cartridges into one seamless experience as originally intended before development constraints forced them to split. The combined game features all zones from both titles in sequence, creating an epic adventure across Angel Island. Players can experience the full story as Sonic, Tails, or Knuckles through Mushroom Hill, Flying Battery, Sandopolis, Lava Reef, Hidden Palace, Sky Sanctuary, and Death Egg zones. The lock-on unlocks Super Emeralds—accessed via special stages in S&K zones after collecting all Chaos Emeralds from Sonic 3—which grant Hyper transformations: Hyper Sonic with game-breaking speed and screen-clearing attacks, Hyper Knuckles with devastating wall-climbing abilities, and Super Tails with invincible Flickies. This definitive version is considered one of the greatest platformers ever made.;https://gamesdb-images.launchbox.gg/r2_e914a916-e042-4076-963f-98b2614a65b2.jpg;10;10;10;10;"Las tres versiones forman el mismo proyecto: Sonic 3 y Sonic & Knuckles por separado son excelentes, mientras que su unión ofrece la experiencia completa y el Sonic ideal de Mega Drive. La edición PAL funciona a 50 Hz; la japonesa/NTSC a 60 Hz conserva mejor el ritmo original.";Sonic 3 & Knuckles;"Gráficos: apartado visual sobresaliente para la plataforma. Música: composición y aprovechamiento sonoro especialmente destacados. Jugabilidad: control preciso, respuesta inmediata y diseño muy bien ajustado. Motivo global: Las tres versiones forman el mismo proyecto: Sonic 3 y Sonic & Knuckles por separado son excelentes, mientras que su unión ofrece la experiencia completa y el Sonic ideal de Mega Drive. La edición PAL funciona a 50 Hz; la japonesa/NTSC a 60 Hz conserva mejor el ritmo original.";Sonic 3 & Knuckles es la experiencia completa que combina Sonic the Hedgehog 3 y Sonic & Knuckles mediante la tecnología lock-on. Reúne todas las zonas de ambos juegos en una aventura continua por Angel Island, con Sonic, Tails o Knuckles como personajes jugables. La unión desbloquea además las Super Esmeraldas y las transformaciones Hyper.
Shining Force II;1994-10-19;4.31;n/a;Strategy - Turn-Based - Tactics;"Shining Force II (シャイニング・フォースII 古えの封印 Shainingu Fōsu Tsū: Inishie no Fūin, lit. ""Shining Force II: The Ancient Seal""), is a tactical role-playing game for the Mega Drive/Genesis console developed by Sonic! Software Planning in 1993. Its storyline is not directly connected to the original Shining Force, although a Game Gear title Shining Force Gaiden: Final Conflict links the two games' plots.";https://images.launchbox-app.com/3de72658-25ed-4cbf-af48-9859e9626990.jpg;8;8;8;8;RPG táctico muy querido por su equilibrio entre exploración, combates accesibles, personajes y estrategia. Algunas batallas largas y repetitivas son su principal concesión.;Shining Force II;Gráficos: buen uso de los recursos gráficos de Mega Drive. Música: banda sonora sólida y bien integrada. Jugabilidad: jugabilidad sólida y accesible, con buen equilibrio general. Motivo global: RPG táctico muy querido por su equilibrio entre exploración, combates accesibles, personajes y estrategia. Algunas batallas largas y repetitivas son su principal concesión.;Shining Force II es un RPG táctico para Mega Drive. Combina exploración, combates por turnos, personajes diferenciados y estrategia en un sistema accesible y equilibrado.
Phantasy Star IV;1995-02-01;4.31;n/a;Role-Playing - Japanese-Style;Phantasy Star IV, released in Japan as Phantasy Star: The End of the Millennium (ファンタシースター 千年紀の終りに Fantashī Sutā Sennenki no Owari Ni), is a role-playing video game released for the Mega Drive/Genesis in Japan in 1993 and Europe and North America in 1995. It is the fourth and final game in the original Phantasy Star series, concluding the story of the Algol Star System. It was the last Phantasy Star game until Phantasy Star Online (2000), which has a mainly unrelated story.;https://images.launchbox-app.com/51201b38-c8db-45d7-b595-af54317e9905.jpg;8;9;8;8;Uno de los grandes JRPG de Mega Drive, destacado por sus escenas estilo manga, personajes, sistema de macros y una aventura extensa. Su ritmo inicial puede resultar más pausado.;Phantasy Star IV;Gráficos: buen uso de los recursos gráficos de Mega Drive. Música: composición y aprovechamiento sonoro especialmente destacados. Jugabilidad: jugabilidad sólida y accesible, con buen equilibrio general. Motivo global: Uno de los grandes JRPG de Mega Drive, destacado por sus escenas estilo manga, personajes, sistema de macros y una aventura extensa. Su ritmo inicial puede resultar más pausado.;Phantasy Star IV es un RPG para Mega Drive y la cuarta y última entrega de la saga original. Concluye la historia del sistema estelar Algol y combina combates por turnos, narrativa, exploración y escenas de estilo manga.
Sonic & Knuckles;1994-10-17;4.31;n/a;Action -Platformer -2D;"Sonic & Knuckles is a 1994 platform game developed and published by Sega for the Sega Genesis. An installment in the main Sonic the Hedgehog series, it is the sequel to Sonic the Hedgehog 3, released earlier that year. The story follows Sonic the Hedgehog and Knuckles the Echidna in their quests to save Angel Island; Sonic tries to prevent Dr. Robotnik from relaunching his orbital weapon, the Death Egg, while Knuckles scuffles with Robotnik's minion, EggRobo.";https://images.launchbox-app.com/cac5ef1e-6f2c-412b-9d1f-a299545ebeed.jpg;9;9;10;9;"Las tres versiones forman el mismo proyecto: Sonic 3 y Sonic & Knuckles por separado son excelentes, mientras que su unión ofrece la experiencia completa y el Sonic ideal de Mega Drive. La edición PAL funciona a 50 Hz; la japonesa/NTSC a 60 Hz conserva mejor el ritmo original.";Sonic & Knuckles;"Gráficos: apartado visual sobresaliente para la plataforma. Música: composición y aprovechamiento sonoro especialmente destacados. Jugabilidad: control preciso, respuesta inmediata y diseño muy bien ajustado. Motivo global: Las tres versiones forman el mismo proyecto: Sonic 3 y Sonic & Knuckles por separado son excelentes, mientras que su unión ofrece la experiencia completa y el Sonic ideal de Mega Drive. La edición PAL funciona a 50 Hz; la japonesa/NTSC a 60 Hz conserva mejor el ritmo original.";Sonic & Knuckles es un juego de plataformas protagonizado por Sonic y Knuckles. Continúa la aventura de Sonic the Hedgehog 3 y permite conectar ambos cartuchos mediante la tecnología lock-on para formar Sonic 3 & Knuckles.
Sonic the Hedgehog 3;1994-02-02;4.31;n/a;Action -Platformer -2D;Sonic the Hedgehog 3 is a platform game developed and published by Sega. It is the sequel to Sonic the Hedgehog 2 (1992) and was released worldwide for the Sega Genesis in 1994. Following the events of Sonic 2, Doctor Robotnik's spaceship, the Death Egg, crash-lands on a mysterious floating island. There, Sonic and Tails must once more retrieve the Chaos Emeralds to stop Death Egg from relaunching, while making rounds with the island's guardian, Knuckles the Echidna. Gameplay is similar to previous entries, with players controlling Sonic and Tails through side-scrolling levels at high speeds while collecting rings and defeating enemies;https://images.launchbox-app.com/d1e6d816-2298-404c-9bb5-074ac99183b4.jpg;10;9;10;10;"Las tres versiones forman el mismo proyecto: Sonic 3 y Sonic & Knuckles por separado son excelentes, mientras que su unión ofrece la experiencia completa y el Sonic ideal de Mega Drive. La edición PAL funciona a 50 Hz; la japonesa/NTSC a 60 Hz conserva mejor el ritmo original.";Sonic the Hedgehog 3;"Gráficos: apartado visual sobresaliente para la plataforma. Música: composición y aprovechamiento sonoro especialmente destacados. Jugabilidad: control preciso, respuesta inmediata y diseño muy bien ajustado. Motivo global: Las tres versiones forman el mismo proyecto: Sonic 3 y Sonic & Knuckles por separado son excelentes, mientras que su unión ofrece la experiencia completa y el Sonic ideal de Mega Drive. La edición PAL funciona a 50 Hz; la japonesa/NTSC a 60 Hz conserva mejor el ritmo original.";Sonic the Hedgehog 3 es un juego de plataformas en el que Sonic y Tails recorren Angel Island para impedir que el Dr. Robotnik relance la Death Egg. Introduce a Knuckles, zonas conectadas y mecánicas ampliadas respecto a Sonic 2.
Streets of Rage II;1992-12-20;4.3;n/a;Action - Beat-'Em-Up - 2D;Streets of Rage 2, released in Japan as Bare Knuckle II: The Requiem of the Deadly Battle (ベア・ナックルII 死闘への鎮魂歌レクイエム Bea Nakkuru Tsū: Shitō e no Rekuiemu), is a side-scrolling beat 'em up video game published by Sega in 1992 for the Mega Drive/Genesis and developed by an ad hoc team of several companies: Sega, Ancient, Shout! Designworks, MNM Software and H.I.C. It is the second game in the Streets of Rage series, a sequel to Streets of Rage and followed by Streets of Rage 3.;https://images.launchbox-app.com/ca04021e-975f-47a1-8f98-74fb4736ddac.jpg;9;10;9;9;Uno de los beat em up más celebrados del sistema: combate limpio, cooperativo, personajes diferenciados y una banda sonora inolvidable.;Streets of Rage II;Gráficos: apartado visual sobresaliente para la plataforma. Música: composición y aprovechamiento sonoro especialmente destacados. Jugabilidad: control preciso, respuesta inmediata y diseño muy bien ajustado. Motivo global: Uno de los beat em up más celebrados del sistema: combate limpio, cooperativo, personajes diferenciados y una banda sonora inolvidable.;Streets of Rage II es un beat em up de desplazamiento lateral publicado por Sega para Mega Drive. Destaca por sus golpes contundentes, personajes diferenciados, cooperativo, música y excelente equilibrio.
Shinobi III: Return of the Ninja Master;1993-07-23;4.23;n/a;Action -Platformer -2D;Shinobi III: Return of the Ninja Master, released in Japan as The Super Shinobi II (ザ・スーパー忍II Za Sūpā Shinobu II), is an action game developed and published by Sega for the Mega Drive/Genesis console that was released in 1993. It is the direct sequel to the previous The Revenge of Shinobi. The game was originally intended to be released in 1992, and to be very different from the final version of the game in terms of levels and storyline.;https://images.launchbox-app.com/522a3315-97f9-4259-b8dc-306d11c68a0a.jpg;9;9;9;9;Mejora la fórmula de la saga con control ágil, movimientos variados y fases muy distintas. Su dificultad elevada exige dominar el ritmo y las técnicas del ninja.;Shinobi III: Return of the Ninja Master;Gráficos: apartado visual sobresaliente para la plataforma. Música: composición y aprovechamiento sonoro especialmente destacados. Jugabilidad: control preciso, respuesta inmediata y diseño muy bien ajustado. Motivo global: Mejora la fórmula de la saga con control ágil, movimientos variados y fases muy distintas. Su dificultad elevada exige dominar el ritmo y las técnicas del ninja.;Shinobi III: Return of the Ninja Master es un juego de acción protagonizado por Joe Musashi. Mejora la fórmula de la saga con movimientos ágiles, ninjutsu, fases muy variadas y una dificultad que exige dominar las técnicas del ninja.
Probotector;1994-09-14;4.21;n/a;Action -Platformer -2D;Contra: Hard Corps is a side-scrolling run and gun-style shoot-'em-up video game released by Konami for the Sega Genesis in North America and South Korea in 1994. It was also released for the Mega Drive as Contra: The Hard Corps (魂斗羅 ザ・ハードコア Kontora Za Hādo Koa) in Japan, and as Probotector in Europe and Australia. It was the first game in the Contra series released for a Sega platform and serves as the first entry in the Hard Corps series, itself a subseries of the Contra franchise. It was re-released in 2019 as part of Contra: Anniversary Collection for PlayStation 4, Xbox One, Nintendo Switch, and Windows;https://images.launchbox-app.com/0dda3594-45cd-412a-8696-1ab27876e01b.jpg;9;8;8;8;"Run and gun espectacular, rápido y muy exigente, con rutas múltiples, personajes distintos y jefes enormes. La edición japonesa ofrece una dificultad más equilibrada; la PAL cambia personajes y mantiene una experiencia dura.";"Contra: Hard Corps; Probotector; Contra Hard Corps; Contra The Hard Corps";"Gráficos: apartado visual sobresaliente para la plataforma. Música: banda sonora sólida y bien integrada. Jugabilidad: jugabilidad sólida y accesible, con buen equilibrio general. Motivo global: Run and gun espectacular, rápido y muy exigente, con rutas múltiples, personajes distintos y jefes enormes. La edición japonesa ofrece una dificultad más equilibrada; la PAL cambia personajes y mantiene una experiencia dura.";Probotector es la versión europea de Contra: Hard Corps. Es un run and gun de acción intensa con personajes robóticos, rutas alternativas, armas potentes y jefes enormes, diseñado para jugadores que buscan un desafío elevado.
Gunstar Heroes;1993-09-09;4.18;n/a; Action - Shooter - Shoot-'Em-Up - Horizontal;Gunstar Heroes is a run and gun video game developed by Treasure and published by Sega. It was Treasure's debut game, originally released on the Sega Genesis in 1993. The game's premise is centered around a pair of characters, the Gunstars, in their efforts to stop an evil empire from recovering four powerful gems. The characters can fire guns and perform a series of acrobatic maneuvers to fight enemies across each stage. There are four weapons in the game which can be combined with one another to create different shot types;https://images.launchbox-app.com/99bea524-f9cf-466e-9ae2-b343737245bc.jpg;9;9;9;9;Un referente de acción cooperativa por sus combinaciones de armas, animación, enemigos gigantes y ritmo constante. Sigue siendo una de las experiencias más completas del sistema.;Gunstar Heroes;Gráficos: apartado visual sobresaliente para la plataforma. Música: composición y aprovechamiento sonoro especialmente destacados. Jugabilidad: control preciso, respuesta inmediata y diseño muy bien ajustado. Motivo global: Un referente de acción cooperativa por sus combinaciones de armas, animación, enemigos gigantes y ritmo constante. Sigue siendo una de las experiencias más completas del sistema.;Gunstar Heroes es un run and gun de Treasure para Mega Drive. Uno o dos jugadores controlan a los Gunstar y combinan cuatro armas para crear distintos disparos, mientras atraviesan siete fases muy variadas, con acción acrobática, enemigos enormes y jefes espectaculares.
